Champion	Picks	Bans	Presence	Wins	Losses	Winrate	KDA	Avg_BT	GT	CSM	DPM	GPM	CSD@15	GD@15	XPD@15
Zeri		1757	3292	65		939	818	53	4.8	3.8	32:13	9.6	613	450	0.7	-22	-9
Gwen		1812	2883	60		934	878	52	2.7	5.1	32:00	8.2	494	398	0.1	-93	-39
Nautilus	2739	1357	53		1350	1389	49	2.4	7.3	31:47	1.1	139	232	3.2	-52	-58
Jinx		2599	1191	49		1319	1280	51	4.1	4.9	31:47	9.6	555	447	1	24	-99
Ahri		1918	1855	49		1016	902	53	4.7	5.4	32:09	8.5	513	399	0.9	71	63
Aphelios	2788	920	48		1393	1395	50	3.5	5.1	32:01	9.1	533	433	0.8	75	20
Viego		2468	1092	46		1184	1284	48	3.2	5.8	32:13	5.7	285	346	3.3	104	103
Lee_Sin		1912	1569	45		973	939	51	3.4	4.6	32:00	5.4	279	340	-2	18	-21
Wukong		1744	1680	44		978	766	56	3.5	4.8	32:30	5.3	328	339	-6.2	-103	-188
Gnar		2165	1142	43		1087	1078	50	2.7	6.7	32:07	8.2	498	396	4.5	162	96
Xin_Zhao	1881	1165	39		921	960	49	2.7	5.5	32:13	5.4	311	330	-1	-89	-45
Kalista		769	1973	35		407	362	53	3.9	3.7	31:37	9.2	448	450	9.7	494	214
Renata_Glasc	1198	1466	34		651	547	54	4.0	5.7	31:51	0.8	167	242	-4.2	9	21
LeBlanc		804	1843	34		382	422	48	4.0	5.8	32:12	7.8	544	385	3.3	163	158
Azir		1207	1376	33		604	603	50	3.4	5.2	32:29	9.1	646	417	6.2	173	222
Yuumi		835	1743	33		414	421	50	5.9	5.1	31:44	0.2	261	232	-11.9	-183	186
Sylas		1119	1410	33		619	500	55	3.4	5.7	31:42	8.1	484	396	-5.4	-138	-84
Lucian		764	1761	33		403	361	53	3.6	4.0	32:32	9.0	594	434	5.8	169	68
Corki		1048	1440	32		541	507	52	4.0	4.9	32:57	9.3	752	444	2.9	165	-6
Leona		1779	694	32		902	877	51	2.4	7.8	32:10	1.2	109	232	2.6	-39	-60
Akali		899	1468	30		479	420	53	3.2	5.4	32:25	7.8	511	389	-2.8	-49	117
